
tier3/artifacts/vmlinux:     file format elf64-littleaarch64


Disassembly of section .kernel:

ffffffc0804c1530 <__ep_remove>:
ffffffc0804c1530:	d503201f 	nop
ffffffc0804c1534:	d503201f 	nop
ffffffc0804c1538:	d503233f 	paciasp
ffffffc0804c1768:	a9415ff8 	ldp	x24, x23, [sp, #16]
ffffffc0804c176c:	a8c47bfd 	ldp	x29, x30, [sp], #64
ffffffc0804c1770:	d50323bf 	autiasp
ffffffc0804c1774:	d65f03c0 	ret
ffffffc0804c1778:	f900e71f 	str	xzr, [x24, #456]
ffffffc0804c177c:	d0006eea 	adrp	x10, ffffffc08129f000 <inotify_fops+0x40>
ffffffc0804c1780:	9103214a 	add	x10, x10, #0xc8
ffffffc0804c1784:	f940d709 	ldr	x9, [x24, #424]
ffffffc0804c1788:	eb0a013f 	cmp	x9, x10
ffffffc0804c178c:	54fff480 	b.eq	ffffffc0804c161c <__ep_remove+0xec>  // b.none
ffffffc0804c1790:	91002109 	add	x9, x8, #0x8
ffffffc0804c1794:	c8dffd29 	ldar	x9, [x9]
ffffffc0804c1798:	f100013f 	cmp	x9, #0x0
ffffffc0804c179c:	9a9f0116 	csel	x22, x8, xzr, eq  // eq = none
ffffffc0804c17a0:	17ffffa0 	b	ffffffc0804c1620 <__ep_remove+0xf0>
ffffffc0804c17a4:	943514d5 	bl	ffffffc081206af8 <debug_lockdep_rcu_enabled>
ffffffc0804c17a8:	34fffc20 	cbz	w0, ffffffc0804c172c <__ep_remove+0x1fc>
ffffffc0804c17ac:	d00108e8 	adrp	x8, ffffffc0825df000 <fsnotify_next_mark.__warned>
ffffffc0804c17b0:	39401909 	ldrb	w9, [x8, #6]
ffffffc0804c17b4:	3707fbc9 	tbnz	w9, #0, ffffffc0804c172c <__ep_remove+0x1fc>
ffffffc0804c17b8:	52800029 	mov	w9, #0x1                   	// #1
ffffffc0804c17bc:	d0009500 	adrp	x0, ffffffc081763000 <task_index_to_char.state_char+0x154f4>
ffffffc0804c17c0:	91220800 	add	x0, x0, #0x882
ffffffc0804c17c4:	90009322 	adrp	x2, ffffffc081725000 <linux_banner+0x2afd98>
ffffffc0804c17c8:	91348042 	add	x2, x2, #0xd20
ffffffc0804c17cc:	52804921 	mov	w1, #0x249                 	// #585
ffffffc0804c17d0:	39001909 	strb	w9, [x8, #6]
ffffffc0804c17d4:	97f26277 	bl	ffffffc08015a1b0 <lockdep_rcu_suspicious>
ffffffc0804c17d8:	17ffffd5 	b	ffffffc0804c172c <__ep_remove+0x1fc>
ffffffc0804c17dc:	aa0903e0 	mov	x0, x9
ffffffc0804c17e0:	94350359 	bl	ffffffc081202544 <__list_del_entry_valid_or_report>
ffffffc0804c17e4:	17ffffc3 	b	ffffffc0804c16f0 <__ep_remove+0x1c0>
ffffffc0804c17e8:	943528a8 	bl	ffffffc08120ba88 <preempt_schedule_notrace>
ffffffc0804c17ec:	35ffefb7 	cbnz	w23, ffffffc0804c15e0 <__ep_remove+0xb0>
ffffffc0804c17f0:	17ffff6e 	b	ffffffc0804c15a8 <__ep_remove+0x78>
ffffffc0804c17f4:	943528a5 	bl	ffffffc08120ba88 <preempt_schedule_notrace>
ffffffc0804c17f8:	35ffef57 	cbnz	w23, ffffffc0804c15e0 <__ep_remove+0xb0>
ffffffc0804c17fc:	d4210000 	brk	#0x800
